Date,Subways: Total Estimated Ridership,Subways: % Change From 2019 Equivalent Day,Buses: Total Estimated Ridership,Buses: % Change From 2019 Equivalent Day,LIRR: Total Estimated Ridership,LIRR: % Change From 2019 Monthly Weekday/Saturday/Sunday Average,Metro-North: Total Estimated Ridership,Metro-North: % Change From 2019 Monthly Weekday/Saturday/Sunday Average,Access-A-Ride: Total Scheduled Trips,Access-A-Ride: % Change From 2019 Monthly Weekday/Saturday/Sunday Average,Bridges and Tunnels: Total Traffic,Bridges and Tunnels: % Change From 2019 Equivalent Day
11/23/20,1641253,-71.30%,930655,-59%,87700,-73%,59500,-79%,21297,-27.90%,755375,-16.60%
11/22/20,816461,-63.80%,536678,-42%,31000,-67%,31900,-69%,10694,-41.70%,598349,-20.80%
11/21/20,1157063,-63.70%,743813,-45%,39200,-66%,51200,-66%,13193,-22.10%,742369,-17.20%
11/20/20,1802844,-68.90%,1060041,-52%,87400,-73%,60400,-79%,22945,-22.30%,843069,-13.90%
11/19/20,1760491,-70.70%,1052172,-55%,84700,-74%,57800,-80%,21780,-26.30%,800461,-16.70%
11/18/20,1790760,-69.80%,1069304,-54%,84100,-74%,57700,-80%,23390,-20.80%,776422,-16.30%
11/17/20,1792119,-69.60%,1091406,-53%,87000,-74%,58600,-80%,22524,-23.80%,764725,-16.00%
11/16/20,1745086,-68.90%,1050451,-52%,89500,-73%,61400,-79%,21851,-26.00%,757988,-14.10%
11/15/20,821525,-66.30%,524187,-48%,30900,-67%,32900,-68%,9763,-46.80%,596389,-27.30%
11/14/20,1215461,-62.40%,755379,-43%,41400,-64%,58000,-62%,12928,-23.70%,735029,-18.60%
11/13/20,1819979,-69.00%,1061470,-52%,86300,-74%,61000,-79%,22054,-25.40%,821059,-17.10%
11/12/20,1780170,-70.00%,1058561,-54%,86200,-74%,58200,-80%,22059,-25.30%,779141,-18.80%
11/11/20,1617838,-66.30%,968610,-47%,83300,-75%,21200,-93%,20263,-31.40%,713640,-22.20%
11/10/20,1840750,-68.40%,1146091,-48%,91500,-72%,63000,-78%,23138,-21.70%,800965,-9.80%
11/9/20,1756175,-69.80%,1099362,-50%,91700,-72%,62400,-78%,21444,-27.40%,773217,-9.00%
11/8/20,928516,-63.10%,584868,-44%,38500,-59%,44000,-58%,10474,-42.90%,726041,-15.40%
11/7/20,1246356,-61.50%,749502,-43%,46400,-60%,66300,-56%,13409,-20.90%,790712,-13.50%
11/6/20,1840860,-68.60%,1114000,-49%,89500,-73%,65000,-77%,22659,-23.30%,858167,-12.50%
11/5/20,1797589,-70.20%,1125820,-52%,87000,-74%,59900,-79%,22937,-22.40%,818991,-14.30%
11/4/20,1693937,-71.90%,1083036,-54%,81600,-75%,56400,-80%,22174,-24.90%,754704,-19.40%
11/3/20,1606096,-71.00%,1017551,-52%,82100,-75%,58100,-80%,20416,-30.90%,720562,-19.20%
11/2/20,1751443,-69.90%,1064298,-54%,87200,-73%,59400,-79%,21127,-28.50%,772129,-16.00%
11/1/20,786678,-72.70%,510667,-48%,29500,-69%,35500,-66%,10180,-44.50%,660915,-14.90%
10/31/20,1174079,-65.00%,724128,-48%,41500,-63%,63600,-58%,12816,-27.50%,743811,-19.70%
10/30/20,1771288,-70.30%,1004498,-56%,84300,-73%,65900,-77%,21243,-28.60%,824680,-16.80%
10/29/20,1708611,-70.40%,974120,-55%,81800,-74%,60300,-79%,20925,-29.70%,776467,-12.40%
10/28/20,1823028,-69.70%,1109591,-53%,86700,-72%,64000,-78%,23258,-21.90%,801966,-13.40%
10/27/20,1818884,-69.60%,1138746,-51%,87400,-72%,64400,-78%,21870,-26.50%,789371,-13.60%
10/26/20,1694080,-70.60%,1058119,-54%,86700,-72%,64800,-78%,20817,-30.10%,760604,-16.80%
10/25/20,885001,-59.80%,576930,-34%,33700,-63%,45000,-57%,10074,-45.20%,725809,-6.60%
10/24/20,1185612,-64.50%,780710,-44%,43600,-62%,72200,-53%,12916,-26.90%,805454,-15.40%
10/23/20,1846268,-68.80%,1128035,-51%,89900,-71%,71100,-76%,21766,-26.90%,881995,-12.40%
10/22/20,1829135,-70.10%,1146065,-52%,88700,-72%,67000,-77%,22391,-24.80%,845064,-14.20%
10/21/20,1816797,-70.00%,1147374,-52%,86200,-73%,65200,-78%,22959,-22.90%,817544,-13.50%
10/20/20,1784090,-69.30%,1127896,-50%,86600,-72%,63500,-78%,21936,-26.30%,790018,-9.70%
10/19/20,1722723,-69.60%,1104657,-52%,89200,-72%,66000,-77%,20812,-30.10%,782239,-10.50%
10/18/20,897886,-63.10%,585376,-40%,34700,-62%,48700,-54%,9998,-45.60%,752262,-9.80%
10/17/20,1211061,-64.00%,780003,-44%,43800,-61%,70500,-54%,11831,-33.10%,794520,-16.70%
10/16/20,1674686,-72.10%,986167,-57%,83800,-73%,64900,-78%,20776,-30.20%,820106,-20.30%
10/15/20,1857822,-69.50%,1154164,-50%,90300,-71%,67700,-77%,22834,-23.30%,866245,-10.70%
10/14/20,1842638,-68.50%,1161893,-47%,89200,-72%,66700,-77%,23169,-22.20%,824529,-9.40%
10/13/20,1718853,-70.80%,1067179,-55%,76600,-76%,62700,-78%,20909,-29.80%,765671,-16.30%
10/12/20,1286892,-69.80%,770512,-53%,76800,-76%,59300,-80%,15722,-47.20%,685982,-19.70%
10/11/20,849518,-68.10%,564047,-48%,34600,-62%,45700,-57%,9470,-48.40%,692669,-22.70%
10/10/20,1171657,-64.10%,770914,-44%,44500,-61%,77300,-49%,12627,-28.60%,823775,-12.40%
10/9/20,1811779,-69.10%,1114870,-51%,78700,-75%,72400,-75%,21274,-28.50%,896404,-13.10%
10/8/20,1801918,-70.20%,1128062,-52%,88000,-72%,65600,-77%,21964,-26.20%,845788,-13.00%
10/7/20,1774408,-63.70%,1124542,-39%,87100,-72%,64300,-78%,23027,-22.70%,814866,0.00%
10/6/20,1762320,-69.20%,1133242,-51%,87700,-72%,65100,-78%,21475,-27.90%,802900,-8.60%
10/5/20,1682379,-70.60%,1092193,-53%,88700,-72%,62900,-78%,19971,-32.90%,783540,-13.40%
10/4/20,853591,-66.10%,566754,-47%,35000,-62%,43900,-58%,10010,-45.50%,706562,-18.80%
10/3/20,1168073,-65.00%,773305,-45%,45000,-60%,68900,-55%,12759,-27.80%,810626,-13.40%
10/2/20,1794201,-70.10%,1109459,-52%,87300,-72%,67100,-77%,21626,-27.40%,891268,-11.30%
10/1/20,1813961,-69.90%,1150563,-50%,86000,-73%,62100,-79%,22309,-25.10%,870606,-7.10%
9/30/20,1744524,-70.70%,1077000,-55%,89200,-73%,61500,-79%,21424,-25.40%,822683,-11.20%
9/29/20,1664896,-67.90%,1023100,-50%,88400,-73%,59700,-79%,20517,-28.60%,790861,-9.60%
9/28/20,1492611,-68.70%,955300,-50%,89700,-73%,63800,-78%,17678,-38.50%,753159,-13.40%
9/27/20,846184,-66.70%,586900,-46%,40000,-60%,45200,-57%,9491,-49.30%,731091,-20.40%
9/26/20,1120175,-65.10%,756300,-46%,47200,-60%,66800,-56%,12128,-29.20%,824515,-15.10%
9/25/20,1765299,-70.00%,1077600,-53%,92500,-72%,67900,-76%,21233,-26.10%,912599,-10.70%
9/24/20,1726180,-71.50%,1070500,-55%,89100,-73%,62400,-78%,21554,-25.00%,857578,-11.90%
9/23/20,1739043,-71.30%,1093600,-55%,89000,-73%,62300,-78%,22501,-21.70%,834469,-12.00%
9/22/20,1702325,-71.70%,1061900,-55%,87400,-73%,61000,-79%,21103,-26.60%,808351,-12.40%
9/21/20,1627636,-71.70%,1021200,-56%,89700,-73%,61800,-79%,19488,-32.20%,788505,-14.60%
9/20/20,828365,-68.30%,585500,-48%,39000,-61%,41800,-60%,9269,-50.50%,705596,-24.50%
9/19/20,1137948,-65.80%,761600,-47%,46800,-60%,64600,-58%,12246,-28.50%,802614,-17.50%
9/18/20,1728810,-71.10%,1074200,-54%,90700,-72%,65700,-77%,20702,-28.00%,894931,-11.80%
9/17/20,1695985,-71.90%,1060400,-56%,86800,-73%,61500,-79%,21005,-26.90%,848024,-13.50%
9/16/20,1690405,-71.80%,1075300,-56%,87000,-73%,60700,-79%,22070,-23.20%,816708,-13.60%
9/15/20,1681774,-71.80%,1087600,-55%,87000,-73%,60800,-79%,20763,-27.70%,815700,-12.50%
9/14/20,1607896,-71.70%,1044500,-56%,89500,-73%,60900,-79%,19888,-30.80%,799573,-14.00%
9/13/20,796744,-68.90%,577400,-48%,36700,-63%,38100,-64%,9315,-50.20%,703809,-23.50%
9/12/20,1083727,-65.40%,759700,-45%,44500,-62%,60500,-60%,12349,-27.90%,800190,-14.80%
9/11/20,1693776,-71.20%,1072600,-54%,88600,-73%,65100,-77%,20809,-27.60%,895766,-11.90%
9/10/20,1547065,-74.00%,989000,-59%,82100,-75%,57100,-80%,20181,-29.80%,801431,-17.50%
9/9/20,1613662,-72.90%,1081700,-56%,86100,-74%,61500,-79%,21801,-24.10%,825412,-11.90%
9/8/20,1559312,-73.60%,1032900,-57%,90600,-72%,63300,-78%,19806,-31.10%,833996,-10.10%
9/7/20,872174,-60.90%,650300,-31%,80100,-76%,40300,-86%,9261,-67.80%,697865,-24.00%
9/6/20,819600,-67.40%,580400,-47%,44700,-55%,45400,-57%,10160,-45.70%,753036,-16.20%
9/5/20,1013746,-68.50%,740100,-48%,50600,-57%,64700,-58%,12118,-29.30%,798823,-14.50%
9/4/20,1571533,-72.10%,1034500,-52%,88300,-73%,64200,-78%,20223,-29.60%,936602,-3.70%
9/3/20,1532512,-73.40%,1030700,-55%,82500,-75%,58000,-80%,19992,-30.40%,869126,-9.20%
9/2/20,1491161,-72.90%,994000,-54%,77600,-76%,53000,-82%,19990,-30.40%,810144,-13.60%
9/1/20,1472491,-72.30%,996600,-53%,76500,-77%,53100,-82%,18929,-34.10%,809685,-14.90%
8/31/20,1400448,-73.60%,987400,-54%,78100,-75%,52700,-81%,18185,-34.90%,817544,10.20%
8/30/20,748886,-70.00%,822300,-24%,45100,-57%,41600,-60%,9752,-45.80%,805096,-10.20%
8/29/20,774465,-73.40%,892800,-33%,37600,-72%,41300,-73%,9814,-41.00%,645956,-31.40%
8/28/20,1391299,-71.70%,1333400,-33%,76100,-76%,53100,-81%,18845,-32.50%,899892,-13.10%
8/27/20,1361128,-74.20%,1274100,-39%,73000,-77%,48800,-82%,19271,-31.00%,847285,-17.10%
8/26/20,1410651,-72.90%,1361400,-33%,76600,-76%,50800,-81%,20659,-26.00%,859625,-9.10%
8/25/20,1349335,-74.10%,1273400,-38%,73300,-77%,49700,-82%,18682,-33.10%,821597,-12.70%
8/24/20,1310101,-73.10%,1270700,-34%,75100,-76%,50100,-82%,17643,-36.80%,815665,-11.90%
8/23/20,672193,-71.20%,783200,-29%,37900,-64%,35300,-66%,8297,-53.90%,737097,-20.60%
8/22/20,883393,-69.60%,998700,-27%,49100,-63%,51600,-66%,11456,-31.10%,812308,-17.50%
8/21/20,1390232,-71.50%,1335800,-30%,76100,-76%,53000,-81%,19035,-31.90%,909773,-10.20%
8/20/20,1413449,-72.30%,1352700,-32%,75600,-76%,50900,-81%,19344,-30.80%,889782,-10.70%
8/19/20,1294931,-74.50%,1212800,-39%,70100,-78%,47700,-83%,19915,-28.70%,816805,-14.20%
8/18/20,1372568,-73.10%,1307400,-35%,74200,-76%,47900,-82%,19274,-31.00%,838008,-12.00%
8/17/20,1307543,-72.90%,1275000,-34%,74500,-76%,49400,-82%,17377,-37.80%,806108,-14.40%
8/16/20,554980,-75.60%,622000,-43%,29900,-71%,28500,-73%,7902,-56.10%,620686,-31.90%
8/15/20,861763,-69.90%,1001000,-28%,46800,-65%,51400,-66%,11487,-30.90%,804346,-15.10%
8/14/20,1358798,-72.90%,1321800,-33%,72900,-77%,50700,-81%,18113,-35.20%,893657,-11.40%
8/13/20,1294248,-75.70%,1198800,-42%,69200,-78%,46500,-83%,18608,-33.40%,819019,-17.90%
8/12/20,1302087,-75.20%,1227500,-39%,68300,-78%,46800,-83%,19346,-30.70%,800865,-15.40%
8/11/20,1322978,-74.30%,1256400,-36%,72400,-77%,46700,-83%,18546,-33.60%,821976,-9.40%
8/10/20,1278263,-74.60%,1243700,-37%,73500,-76%,46800,-83%,18178,-34.90%,826001,-12.70%
8/9/20,663642,-73.20%,766700,-30%,37600,-64%,32200,-69%,8287,-53.90%,744618,-18.60%
8/8/20,834093,-72.40%,962000,-30%,41700,-69%,43600,-71%,10613,-36.20%,730739,-25.30%
8/7/20,1286635,-75.10%,1256300,-38%,66000,-79%,42400,-84%,17502,-37.30%,844097,-17.50%
8/6/20,1337819,-75.40%,1241800,-41%,66600,-79%,38800,-86%,19117,-31.60%,847497,-15.30%
8/5/20,1351026,-74.30%,1305000,-34%,58000,-81%,36900,-86%,18299,-34.50%,847330,-7.50%
8/4/20,1028686,-80.80%,968100,-54%,36800,-88%,31100,-89%,14924,-46.60%,577415,-38.30%
8/3/20,1275951,-75.20%,1268300,-38%,70800,-77%,45900,-83%,17594,-37.00%,818732,-13.10%
8/2/20,590675,-75.90%,707000,-38%,30500,-71%,28100,-73%,7431,-58.70%,648735,-29.90%
8/1/20,843372,-72.00%,969300,-31%,44400,-67%,48700,-68%,10685,-35.80%,799745,-14.90%
7/31/20,1260968,-75.90%,1220700,-40%,67600,-79%,50900,-82%,17654,-36.20%,859774,-15.70%
7/30/20,1272918,-76.70%,1224100,-43%,68900,-78%,48600,-83%,17333,-37.40%,820275,-18.80%
7/29/20,1298880,-75.80%,1273100,-38%,70000,-78%,48500,-83%,18216,-34.20%,816959,-13.50%
7/28/20,1244405,-77.00%,1210600,-43%,66700,-79%,45800,-84%,16892,-39.00%,782226,-17.60%
7/27/20,1206129,-76.60%,1185000,-43%,70100,-78%,45700,-84%,16607,-40.00%,793225,-22.20%
7/26/20,607452,-75.10%,721100,-36%,36200,-65%,32300,-70%,7429,-57.30%,697533,-26.80%
7/25/20,817403,-73.20%,967300,-31%,43300,-66%,47600,-69%,10350,-34.80%,769898,-21.80%
7/24/20,1220649,-77.00%,1134300,-44%,65900,-79%,49000,-83%,17311,-37.50%,826030,-20.40%
7/23/20,1236427,-77.80%,1180200,-45%,65600,-79%,47000,-83%,17056,-38.40%,791577,-22.00%
7/22/20,1236384,-77.90%,1189100,-46%,65300,-79%,46700,-83%,17582,-36.50%,784013,-20.00%
